Text	Label
"[""Yo, what's up? Nothing much. Would you want to hang out on Saturday? Ok. Where should we meet? I don't know. How about the train station? Ok. When should we meet? Let's do 5 am? Sorry, I can't. 1 pm? Sounds good. See you then!""]"	[[15, 16], [17, 18], [60, 61], [35, 37]]
"[""Hey. Do you want to go swimming tomorrow? Sure. Where should we meet? I don't know. How about the Japanese place? Sure. What time? You free 3 am? Sorry, I can't. 7 pm? Sure. See you then!""]"	[[7, 8], [9, 9], [47, 48], [26, 28]]
"[""Yo, what's up? Nothing much. Would you want to see a game on Friday? Great. Where do you want to go? I don't know. How about your place? Ok. What time? How about 5 am? Sorry, I can't. You free 3 pm? Sure! See you then!""]"	[[15, 17], [18, 19], [60, 61], [38, 39]]
"[""Sup! Sup. Would you want to go rafting on Sunday? Great. Where should we go? I don't know. How about a club? Sure. When should we meet? How about 4 pm? Sorry, I can't. How about 8 am? Sounds good. See you then!""]"	[[11, 14], [15, 16], [57, 58], [33, 34]]
"[""Yo, what's up? Nothing much. Do you want to see a concert on Sunday? Sure! Where should we go? I don't know. How about a bar? Ok. When should we meet? Let's do 4 pm? Sorry, I can't. How about 9 pm? Great. See you then!""]"	[[15, 17], [18, 19], [62, 63], [36, 37]]
"[""Hey. Let's watch a movie on Friday? Sure! Where should we go? I don't know. How about a bar? Great. What time? midnight, noon? Sorry, I can't. You free 4 pm? Sure! See you then!""]"	[[6, 8], [9, 10], [48, 49], [27, 28]]
"[""Hey, how are you doing? I’m good, and you? I’m fine, thanks. Would you want to see a game today? Sounds good. Where do you want to go? I don't know. How about a coffee shop? Sure. When should we meet? You free 5 pm? Sorry, I can't. Let's do 1 am? Great. See you then!""]"	[[27, 29], [30, 30], [77, 78], [50, 52]]
"[""Sup! Sup. Would you want to go rafting on Saturday? Sounds good. Where? I don't know. How about a club? Sure! When? 8 pm? Sorry, I can't. Let's do 10 am? Sure. See you then!""]"	[[11, 14], [15, 16], [52, 53], [31, 32]]
"[""Sup! Sup. Would you want to go rafting on Friday? Great. Where should we meet? I don't know. How about the train station? Sure! When should we meet? 11 am? Sorry, I can't. How about 9 am? Ok. See you then!""]"	[[11, 14], [15, 16], [56, 57], [33, 35]]
"[""Heyo! Let's catch up on Tuesday? OK! Where should we meet? I don't know. How about Daan Park? OK! When should we meet? Let's do 2 pm? Sorry, I can't. You free 7 am? Sounds good. See you then!""]"	[[7, 8], [9, 10], [54, 55], [27, 29]]
"[""Yo, what's up? Nothing much. Do you want to bake on Friday? Great. Where should we go? I don't know. How about the Italian restaurant? Sure. What time? How about 2 am? Sorry, I can't. 7 pm? Sure! See you then!""]"	[[15, 16], [17, 18], [56, 57], [35, 37]]
"[""Hey, how are you doing? I’m good, and you? I’m fine, thanks. Do you want to see a game on Monday? Sure. Where should we meet? I don't know. How about the theme park? Sure! When? 8 pm? Sorry, I can't. Let's do 9 pm? Sure. See you then!""]"	[[27, 29], [30, 31], [70, 71], [48, 50]]
"[""Heyo! Do you want to go swimming on Wednesday? Sounds good. Where should we meet? I don't know. How about my place? Sure. When should we meet? 9 am? Sorry, I can't. How about 5 am? Sure. See you then!""]"	[[8, 9], [10, 11], [51, 52], [29, 30]]
"[""Sup! Sup. Let's go bowling on Wednesday? Sure. Where? I don't know. How about the train station? Ok. When should we meet? How about 4 pm? Sorry, I can't. 4 am? Sure. See you then!""]"	[[10, 11], [12, 13], [50, 51], [27, 29]]
"[""Yo, what's up? Nothing much. Let's go to a party on Saturday? Ok. Where? I don't know. How about the Japanese place? OK! When? How about 6 am? Sorry, I can't. How about 12 pm? Sure. See you then!""]"	[[14, 17], [18, 19], [55, 56], [33, 35]]
"[""Yo, what's up? Nothing much. Let's see a movie on Tuesday? Great. Where should we go? I don't know. How about a coffee shop? Great. When? Let's do 8 pm? Sorry, I can't. You free 7 pm? OK! See you then!""]"	[[14, 16], [17, 18], [59, 60], [35, 37]]
"[""Hey. Would you want to go rafting today? Great. Where? I don't know. How about the Japanese place? Ok. When? You free 1 am? Sorry, I can't. Let's do 7 am? Sure! See you then!""]"	[[7, 10], [11, 11], [49, 50], [25, 27]]
"[""Hey. Do you want to ice skating on Thursday? Sure! Where do you want to go? I don't know. How about the Italian restaurant? Great. When? Let's do 6 pm? Sorry, I can't. How about 7 pm? Sure. See you then!""]"	[[7, 8], [9, 10], [53, 54], [29, 31]]
"[""Hey. Let's catch up on Friday? Sure. Where do you want to go? I don't know. How about my place? Great. When should we meet? How about 9 pm? Sorry, I can't. 5 am? Sounds good. See you then!""]"	[[6, 7], [8, 9], [50, 51], [28, 29]]
"[""Hey. Do you want to see a movie on Thursday? Sounds good. Where should we meet? I don't know. How about a bar? OK! What time? Let's do 2 pm? Sorry, I can't. Let's do 11 pm? Great. See you then!""]"	[[7, 9], [10, 11], [55, 56], [29, 30]]
"[""Yo, what's up? Nothing much. Would you want to watch a movie tomorrow? OK! Where should we meet? I don't know. How about the Japanese place? Great. What time? midnight, noon? Sorry, I can't. You free 3 pm? Ok. See you then!""]"	[[15, 17], [18, 18], [57, 58], [35, 37]]
"[""Hey. Let's see a concert tomorrow? OK! Where should we meet? I don't know. How about the mall? Ok. What time? You free 2 am? Sorry, I can't. 3 pm? OK! See you then!""]"	[[6, 8], [9, 9], [46, 47], [26, 27]]
"[""Hey. Would you want to go rafting on Wednesday? Sounds good. Where? I don't know. How about the Italian restaurant? Sure! When should we meet? 1 am? Sorry, I can't. You free 11 am? Sure. See you then!""]"	[[7, 10], [11, 12], [50, 51], [27, 29]]
"[""Hey, how are you doing? I’m good, and you? I’m fine, thanks. Do you want to do something on Wednesday? OK! Where should we meet? I don't know. How about your place? OK! What time? Let's do 7 am? Sorry, I can't. How about 8 pm? Sounds good. See you then!""]"	[[27, 28], [29, 30], [71, 72], [47, 48]]
"[""Heyo! Would you want to go rafting on Saturday? Great. Where should we meet? I don't know. How about the Italian restaurant? Ok. When? How about 6 am? Sorry, I can't. How about 8 am? Ok. See you then!""]"	[[8, 11], [12, 13], [52, 53], [30, 32]]
"[""Heyo! Let's see a movie on Saturday? Sure. Where should we meet? I don't know. How about the train station? Ok. When should we meet? How about 5 pm? Sorry, I can't. 12 pm? Sure. See you then!""]"	[[7, 9], [10, 11], [51, 52], [28, 30]]
"[""Yo, what's up? Nothing much. Do you want to go bowling on Saturday? Sure! Where? I don't know. How about Daan Park? Sounds good. When should we meet? You free 3 am? Sorry, I can't. 8 am? Ok. See you then!""]"	[[15, 16], [17, 18], [56, 57], [32, 34]]
"[""Heyo! Do you want to go to a party on Monday? Sure! Where? I don't know. How about your place? Sounds good. When? Let's do 7 am? Sorry, I can't. How about 12 pm? OK! See you then!""]"	[[8, 11], [12, 13], [51, 52], [27, 28]]
"[""Hey, how are you doing? I’m good, and you? I’m fine, thanks. Do you want to see a concert on Friday? Sure! Where do you want to go? I don't know. How about the mall? Sure! When should we meet? Let's do 9 pm? Sorry, I can't. 9 am? Sure! See you then!""]"	[[27, 29], [30, 31], [74, 75], [50, 51]]
"[""Hey, how are you doing? I’m good, and you? I’m fine, thanks. Would you want to ice skating today? Sure. Where? I don't know. How about the mall? Great. When should we meet? Let's do 4 am? Sorry, I can't. You free 9 pm? Sure! See you then!""]"	[[27, 28], [29, 29], [69, 70], [43, 44]]
"[""Hey, how are you doing? I’m good, and you? I’m fine, thanks. Let's grab lunch today? Sure. Where? I don't know. How about Daan Park? OK! What time? 11 pm? Sorry, I can't. You free 6 pm? OK! See you then!""]"	[[26, 27], [28, 28], [63, 64], [42, 44]]
"[""Hey, how are you doing? I’m good, and you? I’m fine, thanks. Do you want to go rafting on Friday? Sure. Where do you want to go? I don't know. How about Daan Park? OK! When should we meet? 2 am? Sorry, I can't. How about 10 am? Sure! See you then!""]"	[[27, 30], [31, 32], [74, 75], [51, 53]]
"[""Heyo! Do you want to see a movie on Monday? Great. Where should we go? I don't know. How about the Italian restaurant? Sure! When should we meet? How about 6 am? Sorry, I can't. 7 am? Great. See you then!""]"	[[8, 10], [11, 12], [52, 53], [29, 31]]
"[""Hey. Do you want to catch up today? Sure. Where should we meet? I don't know. How about Daan Park? Sure! When? Let's do 7 pm? Sorry, I can't. How about 5 am? Great. See you then!""]"	[[7, 8], [9, 9], [50, 51], [26, 28]]
"[""Hey, how are you doing? I’m good, and you? I’m fine, thanks. Would you want to go somewhere on Saturday? Sure. Where should we meet? I don't know. How about a coffee shop? Great. When? You free 9 am? Sorry, I can't. You free 3 am? Great. See you then!""]"	[[27, 28], [29, 30], [69, 70], [47, 49]]
"[""Heyo! Let's go bowling today? OK! Where? I don't know. How about a coffee shop? OK! What time? 8 am? Sorry, I can't. You free 9 am? Sure! See you then!""]"	[[7, 8], [9, 9], [44, 45], [23, 25]]
"[""Heyo! Do you want to see a movie on Sunday? Great. Where do you want to go? I don't know. How about a bar? Ok. What time? Let's do 8 pm? Sorry, I can't. How about 8 am? Sounds good. See you then!""]"	[[8, 10], [11, 12], [55, 56], [31, 32]]
"[""Hey, how are you doing? I’m good, and you? I’m fine, thanks. Would you want to go rafting on Friday? Great. Where should we meet? I don't know. How about the Japanese place? Ok. What time? You free 1 pm? Sorry, I can't. 8 am? Ok. See you then!""]"	[[27, 30], [31, 32], [70, 71], [49, 51]]
"[""Hey. Would you want to go swimming tomorrow? Sure! Where do you want to go? I don't know. How about Daan Park? Ok. What time? You free 9 pm? Sorry, I can't. Let's do 10 pm? Sure! See you then!""]"	[[7, 8], [9, 9], [53, 54], [28, 30]]
"[""Sup! Sup. Let's see a concert on Saturday? Great. Where should we go? I don't know. How about a club? Sure. When? You free 4 pm? Sorry, I can't. How about 9 am? Great. See you then!""]"	[[10, 12], [13, 14], [52, 53], [31, 32]]
"[""Heyo! Do you want to watch a movie on Friday? OK! Where should we go? I don't know. How about the Japanese place? Great. When should we meet? How about 12 pm? Sorry, I can't. Let's do 3 pm? Sure! See you then!""]"	[[8, 10], [11, 12], [56, 57], [29, 31]]
"[""Yo, what's up? Nothing much. Would you want to go somewhere on Friday? OK! Where should we go? I don't know. How about the train station? Ok. When should we meet? 11 am? Sorry, I can't. Let's do 8 pm? Sure! See you then!""]"	[[15, 16], [17, 18], [60, 61], [35, 37]]
"[""Yo, what's up? Nothing much. Would you want to bake on Wednesday? Sure! Where? I don't know. How about my place? OK! When should we meet? You free 12 pm? Sorry, I can't. Let's do 4 pm? Sure! See you then!""]"	[[15, 16], [17, 18], [58, 59], [32, 33]]
"[""Sup! Sup. Let's see a concert today? Sure. Where should we meet? I don't know. How about the Italian restaurant? OK! What time? You free 4 pm? Sorry, I can't. Let's do 8 pm? Sounds good. See you then!""]"	[[10, 12], [13, 13], [55, 56], [30, 32]]
"[""Heyo! Would you want to see a game on Friday? Sure! Where? I don't know. How about the train station? Great. When should we meet? Let's do 8 am? Sorry, I can't. 6 pm? Great. See you then!""]"	[[8, 10], [11, 12], [51, 52], [26, 28]]
"[""Hey, how are you doing? I’m good, and you? I’m fine, thanks. Do you want to do something on Friday? Great. Where do you want to go? I don't know. How about your place? OK! When? You free 5 pm? Sorry, I can't. You free 7 am? Ok. See you then!""]"	[[27, 28], [29, 30], [70, 71], [49, 50]]
"[""Heyo! Let's go somewhere on Sunday? OK! Where should we go? I don't know. How about my place? Sure! What time? You free 9 am? Sorry, I can't. 2 am? Sure! See you then!""]"	[[7, 8], [9, 10], [47, 48], [27, 28]]
"[""Sup! Sup. Would you want to see a play on Sunday? Ok. Where should we go? I don't know. How about a club? Sure! What time? You free 12 pm? Sorry, I can't. Let's do 9 pm? Sure. See you then!""]"	[[11, 13], [14, 15], [56, 57], [32, 33]]
"[""Sup! Sup. Do you want to grab coffee on Saturday? Sure! Where? I don't know. How about a bar? Sure. When should we meet? Let's do 1 pm? Sorry, I can't. How about 6 pm? Sure. See you then!""]"	[[11, 12], [13, 14], [54, 55], [28, 29]]
"[""Yo, what's up? Nothing much. Do you want to go somewhere on Monday? OK! Where do you want to go? I don't know. How about the theme park? Sure. What time? You free 7 am? Sorry, I can't. How about 9 am? Sounds good. See you then!""]"	[[15, 16], [17, 18], [60, 61], [37, 39]]
"[""Hey. Let's go bowling today? Sure. Where should we go? I don't know. How about Daan Park? Ok. What time? Let's do 2 pm? Sorry, I can't. You free 6 am? Sure. See you then!""]"	[[6, 7], [8, 8], [50, 51], [25, 27]]
"[""Sup! Sup. Would you want to ice skating on Tuesday? Sounds good. Where? I don't know. How about a coffee shop? Sounds good. When should we meet? You free midnight, noon? Sorry, I can't. You free 1 am? OK! See you then!""]"	[[11, 12], [13, 14], [56, 57], [29, 31]]
"[""Hey. Let's grab coffee on Friday? OK! Where do you want to go? I don't know. How about your place? Sure! What time? 6 am? Sorry, I can't. You free 8 am? Sure! See you then!""]"	[[6, 7], [8, 9], [48, 49], [28, 29]]
"[""Hey. Do you want to see a game on Monday? OK! Where do you want to go? I don't know. How about the theme park? Ok. When? You free 3 pm? Sorry, I can't. How about 9 pm? Sounds good. See you then!""]"	[[7, 9], [10, 11], [52, 53], [30, 32]]
"[""Sup! Sup. Do you want to go somewhere on Friday? OK! Where? I don't know. How about Daan Park? Sure. What time? You free 7 pm? Sorry, I can't. How about 9 am? Sounds good. See you then!""]"	[[11, 12], [13, 14], [51, 52], [28, 30]]
"[""Yo, what's up? Nothing much. Let's go somewhere on Tuesday? OK! Where? I don't know. How about the Italian restaurant? Ok. What time? How about 3 pm? Sorry, I can't. How about 12 pm? Sure! See you then!""]"	[[14, 15], [16, 17], [54, 55], [31, 33]]
"[""Sup! Sup. Would you want to grab lunch on Thursday? Ok. Where do you want to go? I don't know. How about your place? Sure. When? How about 11 pm? Sorry, I can't. How about 1 pm? Ok. See you then!""]"	[[11, 12], [13, 14], [54, 55], [33, 34]]
"[""Yo, what's up? Nothing much. Do you want to go to a party on Friday? OK! Where should we meet? I don't know. How about the train station? Great. When should we meet? Let's do 4 am? Sorry, I can't. Let's do 11 pm? Sounds good. See you then!""]"	[[15, 18], [19, 20], [66, 67], [37, 39]]
"[""Hey, how are you doing? I’m good, and you? I’m fine, thanks. Let's see a concert on Friday? Sure. Where? I don't know. How about the theme park? Sure! What time? Let's do 9 am? Sorry, I can't. 9 pm? Sure! See you then!""]"	[[26, 28], [29, 30], [67, 68], [44, 46]]
"[""Hey. Do you want to hang out tomorrow? Sure! Where? I don't know. How about a bar? Great. When should we meet? Let's do 7 am? Sorry, I can't. 9 am? Sure! See you then!""]"	[[7, 8], [9, 9], [47, 48], [23, 24]]
"[""Sup! Sup. Do you want to ice skating on Friday? Sure. Where should we go? I don't know. How about the mall? Sure! When? 11 pm? Sorry, I can't. How about 8 am? Great. See you then!""]"	[[11, 12], [13, 14], [50, 51], [31, 32]]
"[""Sup! Sup. Would you want to see a concert tomorrow? Sounds good. Where should we meet? I don't know. How about Daan Park? Sure! When should we meet? You free 5 pm? Sorry, I can't. You free 12 pm? Sure. See you then!""]"	[[11, 13], [14, 14], [57, 58], [32, 34]]
"[""Sup! Sup. Let's hang out on Saturday? Great. Where do you want to go? I don't know. How about Daan Park? Sounds good. When should we meet? 8 pm? Sorry, I can't. You free 6 am? Ok. See you then!""]"	[[10, 11], [12, 13], [56, 57], [32, 34]]
"[""Hey. Let's see a game on Thursday? Sure! Where should we go? I don't know. How about a club? Great. What time? 3 pm? Sorry, I can't. Let's do midnight, noon? Ok. See you then!""]"	[[6, 8], [9, 10], [49, 51], [27, 28]]
"[""Heyo! Do you want to ice skating on Wednesday? Sounds good. Where? I don't know. How about my place? OK! What time? Let's do 9 am? Sorry, I can't. You free 11 pm? Sure. See you then!""]"	[[8, 9], [10, 11], [50, 51], [26, 27]]
"[""Hey. Let's see a play on Sunday? Sure. Where should we meet? I don't know. How about a bar? Ok. When should we meet? How about 2 pm? Sorry, I can't. You free 10 am? Great. See you then!""]"	[[6, 8], [9, 10], [51, 52], [27, 28]]
"[""Sup! Sup. Would you want to go somewhere today? Sounds good. Where do you want to go? I don't know. How about your place? Sure! When should we meet? You free 2 am? Sorry, I can't. 7 pm? OK! See you then!""]"	[[11, 12], [13, 13], [55, 56], [33, 34]]
"[""Heyo! Do you want to grab coffee on Tuesday? OK! Where should we go? I don't know. How about the Japanese place? Sure. When should we meet? Let's do 6 am? Sorry, I can't. How about 4 pm? Great. See you then!""]"	[[8, 9], [10, 11], [55, 56], [28, 30]]
"[""Heyo! Would you want to see a game on Thursday? Great. Where? I don't know. How about the train station? Sure! When? Let's do 8 pm? Sorry, I can't. Let's do 10 am? OK! See you then!""]"	[[8, 10], [11, 12], [52, 53], [26, 28]]
"[""Heyo! Would you want to ice skating on Thursday? Ok. Where do you want to go? I don't know. How about the theme park? Ok. When should we meet? Let's do 3 am? Sorry, I can't. How about 5 am? OK! See you then!""]"	[[8, 9], [10, 11], [57, 58], [30, 32]]
"[""Hey, how are you doing? I’m good, and you? I’m fine, thanks. Would you want to go somewhere tomorrow? Sure. Where? I don't know. How about my place? Sounds good. When should we meet? How about 5 pm? Sorry, I can't. How about 2 pm? Ok. See you then!""]"	[[27, 28], [29, 29], [68, 69], [43, 44]]
"[""Hey. Would you want to ice skating on Monday? OK! Where? I don't know. How about my place? Sure! When should we meet? How about midnight, noon? Sorry, I can't. You free 9 am? Ok. See you then!""]"	[[7, 8], [9, 10], [49, 50], [24, 25]]
"[""Sup! Sup. Would you want to go bowling on Saturday? OK! Where should we go? I don't know. How about the Japanese place? Great. When? 10 pm? Sorry, I can't. Let's do 9 am? Great. See you then!""]"	[[11, 12], [13, 14], [53, 54], [31, 33]]
"[""Heyo! Let's ice skating on Sunday? OK! Where do you want to go? I don't know. How about a club? Great. When? You free 5 am? Sorry, I can't. 3 am? OK! See you then!""]"	[[7, 8], [9, 10], [48, 49], [29, 30]]
"[""Yo, what's up? Nothing much. Do you want to grab coffee on Tuesday? Great. Where? I don't know. How about a bar? Sure. When? How about 8 pm? Sorry, I can't. 8 am? Sounds good. See you then!""]"	[[15, 16], [17, 18], [51, 52], [32, 33]]
"[""Yo, what's up? Nothing much. Would you want to grab lunch tomorrow? Sure! Where should we meet? I don't know. How about your place? OK! When should we meet? Let's do 6 am? Sorry, I can't. You free 1 am? OK! See you then!""]"	[[15, 16], [17, 17], [60, 61], [34, 35]]
"[""Sup! Sup. Let's see a concert tomorrow? Great. Where should we meet? I don't know. How about the Italian restaurant? Ok. When? How about 1 am? Sorry, I can't. 8 am? Great. See you then!""]"	[[10, 12], [13, 13], [50, 51], [30, 32]]
"[""Hey, how are you doing? I’m good, and you? I’m fine, thanks. Would you want to go swimming on Sunday? Great. Where do you want to go? I don't know. How about the Japanese place? Sounds good. What time? 8 am? Sorry, I can't. 5 am? OK! See you then!""]"	[[27, 28], [29, 30], [69, 70], [49, 51]]
"[""Sup! Sup. Do you want to go swimming tomorrow? Ok. Where do you want to go? I don't know. How about a coffee shop? Sure! When? Let's do 2 am? Sorry, I can't. 7 am? OK! See you then!""]"	[[11, 12], [13, 13], [54, 55], [32, 34]]
"[""Sup! Sup. Let's go bowling on Tuesday? OK! Where do you want to go? I don't know. How about the mall? Great. When? You free 6 am? Sorry, I can't. Let's do 1 am? Sure! See you then!""]"	[[10, 11], [12, 13], [55, 56], [32, 33]]
"[""Yo, what's up? Nothing much. Would you want to catch up on Tuesday? Great. Where should we meet? I don't know. How about a club? Sounds good. When? Let's do 7 pm? Sorry, I can't. Let's do 1 pm? OK! See you then!""]"	[[15, 16], [17, 18], [61, 62], [35, 36]]
"[""Hey. Would you want to go bowling on Saturday? Great. Where should we go? I don't know. How about the Italian restaurant? Sure! When? 6 am? Sorry, I can't. How about 8 pm? Ok. See you then!""]"	[[7, 8], [9, 10], [47, 48], [27, 29]]
"[""Heyo! Let's see a game on Saturday? Ok. Where do you want to go? I don't know. How about a club? Sure. When should we meet? Let's do 9 pm? Sorry, I can't. 2 am? Ok. See you then!""]"	[[7, 9], [10, 11], [54, 55], [30, 31]]
"[""Hey. Do you want to bake on Friday? Ok. Where? I don't know. How about Daan Park? Sounds good. What time? 3 pm? Sorry, I can't. Let's do 6 pm? Sounds good. See you then!""]"	[[7, 8], [9, 10], [48, 49], [24, 26]]
"[""Sup! Sup. Do you want to grab lunch on Tuesday? Ok. Where? I don't know. How about a coffee shop? Ok. When? How about 7 am? Sorry, I can't. 2 pm? Sure! See you then!""]"	[[11, 12], [13, 14], [48, 49], [28, 30]]
"[""Heyo! Do you want to go rafting on Thursday? Great. Where should we go? I don't know. How about your place? Ok. When should we meet? You free 9 am? Sorry, I can't. Let's do 1 pm? Sure! See you then!""]"	[[8, 11], [12, 13], [56, 57], [30, 31]]
"[""Sup! Sup. Would you want to ice skating on Saturday? Sure! Where should we go? I don't know. How about a bar? Sure. When should we meet? 4 am? Sorry, I can't. Let's do 11 am? Ok. See you then!""]"	[[11, 12], [13, 14], [55, 56], [31, 32]]
"[""Hey, how are you doing? I’m good, and you? I’m fine, thanks. Let's see a game on Thursday? Great. Where do you want to go? I don't know. How about a bar? OK! When should we meet? You free 9 am? Sorry, I can't. How about 12 pm? Sure! See you then!""]"	[[26, 28], [29, 30], [73, 74], [49, 50]]
