Text	Label
Hey. Would you want to grab lunch on Tuesday? Ok. When should we meet? You free 4 am? Great. Where should we meet? How about the zoo? Great. Sorry, I'm busy 4 am. 11 pm? Sounds good. See you on Tuesday!	[[7, 8], [10, 10], [47, 48], [33, 34]]
Hey. You free on Wednesday? Yes. Let's see a movie? Sounds good. Where should we go? How about the mall? OK! See you on Wednesday!	[[13, 15], [6, 6], [0, 0], [27, 28]]
Hey! Do you want to go rafting on Thursday? Sorry I'm busy on Thursday. How about on Friday? Sure. What time should we meet? 11 pm? Sounds good. See you then!	[[7, 10], [25, 25], [35, 36], [0, 0]]
Sup! Sup. Would you want to grab lunch today? Ok. When? Let's do 4 pm? Sorry, I have an appointment. 9 am? Sure! Where do you want to go? I don't know. How about the Italian restaurant or the theme park? Sure! I prefer the Italian restaurant. Sure! See you today!	[[11, 12], [13, 13], [33, 34], [53, 55]]
Hey! Do you want to hang out on Friday? I can't on Friday. How about on Saturday? OK! When should we meet? 6 am? Great. See you on Saturday!	[[7, 8], [22, 22], [31, 32], [0, 0]]
Hey! Are you free on Monday? Sorry, I'm busy... How about on Saturday? I'm busy on on Saturday too. That's fine, next time then. Sure. 	[[0, 0], [0, 0], [0, 0], [0, 0]]
Hey! Would you want to grab lunch tomorrow? Great. When? Are you free at 5 am? Sure! Where do you want to go? How about the Japanese place? Ok. Actually, I'm busy 5 am. Are you free at 3 pm? Sure! See you tomorrow!	[[7, 8], [9, 9], [52, 53], [33, 35]]
Sup! Sup. Would you want to catch up on Saturday? Ok. When should we meet? You free 10 am? Sorry, I'm busy. How about 6 pm? OK! Where do you want to go? I don't know. How about your place or Daan Park? OK! Let's do Daan Park. Sure! See you on Saturday!	[[11, 12], [14, 14], [37, 38], [60, 62]]
Sup! Sup. Would you want to go somewhere tomorrow? Sure. Where? How about the Italian restaurant? Great. What time should we meet? Let's do 1 pm? Sorry, I'm busy. You free 12 pm? OK! See you tomorrow!	[[11, 12], [13, 13], [49, 50], [21, 23]]
Hey. Let's go swimming on Saturday? Sounds good. Where do you want to go? How about Daan Park? Ok. When? Are you free at 6 pm? Sorry, I can't. How about 4 am? OK! See you on Saturday!	[[6, 7], [9, 9], [47, 48], [23, 25]]
Hey. Would you want to go bowling on Sunday? Great. Where should we meet? I don't know. How about the zoo? Or my place? OK! Let's do my place. What time? Are you free at 6 am? Sorry, I can't. 7 pm? Sure! See you then!	[[7, 8], [10, 10], [60, 61], [31, 32]]
Sup! Sup. Would you want to see a game on Tuesday? Sure! When should we meet? Let's do 4 am? OK! Where do you want to go? How about a club? Sure! Sorry, I'm busy 4 am. Are you free at 2 am? Great. See you then!	[[11, 13], [15, 15], [60, 61], [42, 43]]
Yo, what's up? Nothing much. Do you want to grab lunch on Friday? Sure. When should we meet? 3 pm? Sounds good. Where should we meet? How about the zoo? Sounds good. See you then!	[[15, 16], [18, 18], [27, 28], [40, 41]]
Hey, how are you doing? I’m good, and you? I’m fine, thanks. Are you free tomorrow? Yes. Would you want to go bowling? Sure. Where? How about a coffee shop? OK! See you tomorrow!	[[34, 35], [26, 26], [0, 0], [43, 45]]
Hey, how are you doing? I’m good, and you? I’m fine, thanks. Would you want to see a play on Monday? Sounds good. Where should we meet? How about my place? Sure. What time should we meet? Let's do 8 pm? Sorry, I have an appointment. Are you free at 2 pm? Sure. See you then!	[[27, 29], [31, 31], [72, 73], [43, 44]]
Hey! You free on Friday? Sorry, I'll be out of town. How about on Monday? I'm busy on on Monday too. That's fine, next time then. Sounds good. 	[[0, 0], [0, 0], [0, 0], [0, 0]]
Sup! Sup. Let's see a concert today? OK! When? You free 2 am? Sure! Where? How about the Japanese place? Sounds good. See you then!	[[10, 12], [13, 13], [21, 22], [30, 32]]
Hey, how are you doing? I’m good, and you? I’m fine, thanks. Do you want to go surfing tomorrow? OK! When should we meet? Are you free at 5 pm? Ok. Where should we go? How about a bar? Ok. Sorry, I have an appointment 5 pm. You free 8 am? Sure! See you tomorrow!	[[27, 28], [29, 29], [70, 71], [54, 55]]
Yo, what's up? Nothing much. Do you want to see a concert on Thursday? Ok. Where? How about a bar? Sure! When should we meet? You free 2 am? Sure. See you there!	[[15, 17], [19, 19], [39, 40], [27, 28]]
Hey! Let's go rafting on Tuesday? Sounds good. When should we meet? You free 7 am? Sorry, I can't. 9 am? Sure! Where should we go? I don't know. How about Daan Park or my place? Sure! Let's do Daan Park. Sure. See you there!	[[6, 9], [11, 11], [33, 34], [51, 53]]
Hey, how are you doing? I’m good, and you? I’m fine, thanks. Let's go bowling on Saturday? Sounds good. What time? Let's do midnight? Sorry, I'm busy. Let's do 4 pm? Sure! Where should we go? I don't know. How about the Japanese place or the train station? Sure! I prefer the Japanese place. Sounds good. See you then!	[[26, 27], [29, 29], [54, 55], [72, 74]]
Hey! Would you want to go surfing today? Sounds good. When? Let's do 8 am? Sorry, I'm busy. Are you free at 7 am? OK! Where should we meet? I don't know. How about Daan Park or the Japanese place? OK! I prefer Daan Park. Sure. See you today!	[[7, 8], [9, 9], [34, 35], [52, 54]]
Hey. You free today? Sorry, I'll be out of town. How about on Tuesday? I'm busy on on Tuesday too. That's fine, next time then. Great. 	[[0, 0], [0, 0], [0, 0], [0, 0]]
Hey, how are you doing? I’m good, and you? I’m fine, thanks. Let's see a game today? Sounds good. Where? How about the Japanese place? Sure! When should we meet? Are you free at 8 am? Sorry, I'm busy. Let's do 1 am? Sounds good. See you there!	[[26, 28], [29, 29], [67, 68], [38, 40]]
Yo, what's up? Nothing much. Let's do something today? OK! What time should we meet? Are you free at 6 pm? Great. Where? How about the zoo? Sure! I forgot, I have an appointment 6 pm. You free 7 pm? Sure! See you then!	[[14, 15], [16, 16], [56, 57], [39, 40]]
Hey. Do you want to go rafting on Saturday? Sure! What time should we meet? Are you free at 5 am? Sure! Where do you want to go? How about the Japanese place? OK! Actually, I'm busy 5 am. You free 1 am? Ok. See you then!	[[7, 10], [12, 12], [57, 58], [40, 42]]
Sup! Sup. Let's go swimming on Wednesday? I can't on Wednesday. How about on Saturday? Sure! What time should we meet? 10 pm? Sounds good. See you on Saturday!	[[10, 11], [25, 25], [35, 36], [0, 0]]
Sup! Sup. Let's hang out on Tuesday? Ok. When? You free 9 am? Sorry, I'm busy. You free 6 am? OK! Where should we meet? I don't know. How about Daan Park or the Japanese place? OK! I prefer Daan Park. Sounds good. See you there!	[[10, 11], [13, 13], [33, 34], [51, 53]]
Hey. Would you want to go ice skating on Friday? Sure! Where do you want to go? How about a coffee shop? Ok. When should we meet? Are you free at 11 am? Sounds good. See you there!	[[7, 9], [11, 11], [39, 40], [24, 26]]
Sup! Sup. Are you free today? Yes. Would you want to go to a party? Sure! Where should we meet? How about my place? Ok. See you then!	[[18, 21], [10, 10], [0, 0], [32, 33]]
Yo, what's up? Nothing much. Let's hang out on Friday? Sure. Where should we go? I don't know. How about my place? Or a coffee shop? OK! Let's do my place. What time? How about 5 am? Sorry, I can't. How about 5 pm? Sure. See you n!	[[14, 15], [17, 17], [68, 69], [34, 35]]
Hey. Would you want to bake on Sunday? Sounds good. What time? 12 pm? Sorry, I'm busy. noon? Sure! Where should we go? I don't know. How about a club or your place? Sure! Let's do your place. Sure. See you on Sunday!	[[7, 8], [10, 10], [28, 28], [48, 49]]
Hey. Do you want to see a game on Saturday? OK! Where do you want to go? How about a coffee shop? Great. What time? 9 pm? Sorry, I have an appointment. You free 2 pm? Sure. See you on Saturday!	[[7, 9], [11, 11], [45, 46], [24, 26]]
Hey! Are you free on Sunday? Yes. Would you want to bake? OK! Where should we meet? How about the theme park? Sure! See you there!	[[15, 16], [7, 7], [0, 0], [27, 29]]
Sup! Sup. Do you want to go ice skating on Sunday? Sure. Where should we go? How about a bar? Sounds good. What time? Are you free at noon? Ok. See you on Sunday!	[[11, 13], [15, 15], [39, 39], [26, 27]]
Hey, how are you doing? I’m good, and you? I’m fine, thanks. Do you want to see a movie on Tuesday? Sounds good. Where? I don't know. How about a coffee shop? Or the theme park? Sounds good. Let's do a coffee shop. What time should we meet? 11 pm? Sorry, I have an appointment. 2 am? Sure! See you then!	[[27, 29], [31, 31], [82, 83], [46, 48]]
Hey, how are you doing? I’m good, and you? I’m fine, thanks. You free on Friday? Yes. Let's grab coffee? Sounds good. Where do you want to go? How about the Italian restaurant? OK! See you there!	[[33, 34], [26, 26], [0, 0], [48, 50]]
Sup! Sup. Are you free tomorrow? Sorry, I'll be out of town. How about on Tuesday? I'm busy on on Tuesday too. That's fine, next time then. OK! 	[[0, 0], [0, 0], [0, 0], [0, 0]]
Sup! Sup. Are you free tomorrow? Yes. Let's see a play? Sure. Where should we meet? How about school? Sure! See you then!	[[17, 19], [10, 10], [0, 0], [30, 30]]
Sup! Sup. Let's grab lunch on Saturday? Sounds good. What time should we meet? Let's do 4 am? Sure. Where do you want to go? How about the theme park? Great. See you on Saturday!	[[10, 11], [13, 13], [28, 29], [42, 44]]
Hey. Let's do something on Saturday? Sure! Where should we meet? How about Daan Park? Sure! When? Are you free at 5 am? Sounds good. See you then!	[[6, 7], [9, 9], [32, 33], [20, 22]]
Hey, how are you doing? I’m good, and you? I’m fine, thanks. Would you want to go swimming on Saturday? OK! When? midnight? Sounds good. Where do you want to go? How about a club? OK! Sorry, I'm busy midnight. Let's do 6 am? Sure! See you then!	[[27, 28], [30, 30], [67, 68], [50, 51]]
Hey, how are you doing? I’m good, and you? I’m fine, thanks. Let's see a concert on Thursday? Sorry I'm busy. How about on Sunday? Sure! What time? 6 pm? Sure! See you then!	[[26, 28], [41, 41], [48, 49], [0, 0]]
Hey! Do you want to see a concert on Wednesday? Sure! When? noon? Sorry, I'm busy. Let's do 6 am? Sure. Where should we go? I don't know. How about the theme park or your place? Sure. I prefer the theme park. Ok. See you on Wednesday!	[[7, 9], [11, 11], [30, 31], [48, 50]]
Hey. Would you want to go somewhere on Monday? Sorry I'm busy on Monday. How about tomorrow? Sounds good. What time should we meet? 9 pm? Sounds good. See you then!	[[7, 8], [22, 22], [33, 34], [0, 0]]
Yo, what's up? Nothing much. You free on Sunday? Sorry, I'm busy... How about on Monday? I'm busy on on Monday too. That's fine, next time then. Ok. 	[[0, 0], [0, 0], [0, 0], [0, 0]]
Hey. You free tomorrow? Sorry, I have plans already. How about today? I'm busy on today too. That's fine, next time then. Great. 	[[0, 0], [0, 0], [0, 0], [0, 0]]
Sup! Sup. Would you want to grab lunch on Thursday? Sure. What time should we meet? How about 3 pm? Great. Where? How about the Japanese place? Sounds good. See you there!	[[11, 12], [14, 14], [26, 27], [35, 37]]
Sup! Sup. Let's go swimming on Wednesday? Sorry I'm busy. How about on Monday? Sounds good. When should we meet? 11 pm? Sounds good. See you on Monday!	[[10, 11], [24, 24], [34, 35], [0, 0]]
Hey, how are you doing? I’m good, and you? I’m fine, thanks. Let's go rafting on Monday? Sure! When should we meet? How about 1 am? OK! Where do you want to go? How about Xinyi? OK! See you then!	[[26, 29], [31, 31], [42, 43], [56, 58]]
Sup! Sup. Would you want to go swimming on Saturday? Sure. When should we meet? You free 8 pm? Ok. Where should we meet? How about your place? OK! Actually, I have an appointment 8 pm. 7 pm? Ok. See you on Saturday!	[[11, 12], [14, 14], [51, 52], [37, 38]]
Yo, what's up? Nothing much. Would you want to grab coffee on Wednesday? Sure. When should we meet? Are you free at 10 am? OK! Where? How about the Italian restaurant? Great. I forgot, I can't 10 am. You free 9 pm? Great. See you then!	[[15, 16], [18, 18], [58, 59], [40, 42]]
Hey. Do you want to see a movie on Tuesday? Sorry I'm busy on Tuesday. How about on Wednesday? Ok. When should we meet? noon? Sure. See you on Wednesday!	[[7, 9], [24, 24], [33, 33], [0, 0]]
Hey, how are you doing? I’m good, and you? I’m fine, thanks. Do you want to catch up on Friday? Sure. When? How about 5 pm? OK! Where should we go? How about your place? Sure! I forgot, I'm busy 5 pm. 8 pm? Sure. See you there!	[[27, 28], [30, 30], [65, 66], [50, 51]]
Hey, how are you doing? I’m good, and you? I’m fine, thanks. You free on Monday? Yes. Let's see a movie? Sure. Where should we go? How about the theme park? Great. See you on Monday!	[[33, 35], [26, 26], [0, 0], [46, 48]]
Hey! Do you want to go to a party tomorrow? Sounds good. When should we meet? 10 pm? Sure. Where? How about the mall? Sure! Sorry, I can't 10 pm. Are you free at noon? Great. See you there!	[[7, 10], [11, 11], [48, 48], [30, 31]]
Hey. Would you want to go bowling on Saturday? Ok. Where do you want to go? I don't know. How about Daan Park? Or my place? Sure. Let's do Daan Park. What time? How about 11 pm? Sorry, I'm busy. How about 6 am? OK! See you n!	[[7, 8], [10, 10], [64, 65], [29, 31]]
Sup! Sup. Would you want to see a game today? Sure. Where do you want to go? How about the train station? Great. What time? Let's do 6 am? Sorry, I can't. You free midnight? Sure. See you then!	[[11, 13], [14, 14], [52, 52], [27, 29]]
Sup! Sup. You free on Saturday? Yes. Do you want to go rafting? Sounds good. Where should we meet? How about the Japanese place? Ok. See you then!	[[18, 21], [10, 10], [0, 0], [33, 35]]
Hey, how are you doing? I’m good, and you? I’m fine, thanks. Do you want to grab coffee tomorrow? Sorry I'm busy tomorrow. How about on Friday? Sure! What time should we meet? 3 am? OK! See you then!	[[27, 28], [41, 41], [51, 52], [0, 0]]
Yo, what's up? Nothing much. Do you want to bake tomorrow? I can't tomorrow. How about today? Great. When should we meet? 6 pm? Ok. See you today!	[[15, 16], [27, 27], [36, 37], [0, 0]]
Sup! Sup. Would you want to catch up on Sunday? Ok. When? How about 2 am? Sounds good. Where should we go? How about a bar? Sure. I forgot, I can't 2 am. 11 am? Great. See you then!	[[11, 12], [14, 14], [50, 51], [35, 36]]
Hey, how are you doing? I’m good, and you? I’m fine, thanks. Would you want to go to a party on Friday? Great. Where should we go? How about a bar? OK! When should we meet? How about 3 am? Sure! See you on Friday!	[[27, 30], [32, 32], [55, 56], [43, 44]]
Hey! Are you free on Saturday? Yes. Do you want to bake? OK! Where should we meet? How about Xinyi? Great. See you on Saturday!	[[15, 16], [7, 7], [0, 0], [27, 29]]
Hey. Would you want to see a game today? Sounds good. Where should we go? How about the Japanese place? Great. When? You free 2 pm? Sounds good. See you then!	[[7, 9], [10, 10], [32, 33], [22, 24]]
Hey, how are you doing? I’m good, and you? I’m fine, thanks. Would you want to go swimming on Friday? Sure. What time? You free 3 am? Sorry, I can't. 5 pm? Sounds good. Where should we meet? I don't know. How about the Italian restaurant or the theme park? Sounds good. I prefer the theme park. Ok. See you on Friday!	[[27, 28], [30, 30], [49, 50], [72, 74]]
Hey. You free on Friday? Sorry, I'm busy... How about on Thursday? I'm busy on on Thursday too. That's fine, next time then. Ok. 	[[0, 0], [0, 0], [0, 0], [0, 0]]
Hey, how are you doing? I’m good, and you? I’m fine, thanks. You free on Tuesday? Yes. Do you want to go bowling? Ok. Where? How about the mall? Ok. See you on Tuesday!	[[34, 35], [26, 26], [0, 0], [43, 44]]
Yo, what's up? Nothing much. Let's bake on Friday? Sorry I'm busy. How about tomorrow? Sounds good. When should we meet? 2 am? OK! See you there!	[[14, 15], [27, 27], [37, 38], [0, 0]]
Sup! Sup. Are you free today? Sorry, I have plans already. How about tomorrow? I'm busy on tomorrow too. That's fine, next time then. Sure! 	[[0, 0], [0, 0], [0, 0], [0, 0]]
Sup! Sup. Do you want to see a game on Friday? OK! When should we meet? How about 3 am? OK! Where should we go? How about the mall? Sure! Actually, I can't 3 am. Let's do 11 am? Great. See you then!	[[11, 13], [15, 15], [56, 57], [38, 39]]
Hey! Let's go ice skating on Sunday? I can't on Sunday. How about on Tuesday? Sounds good. When? 10 pm? Ok. See you there!	[[6, 8], [22, 22], [29, 30], [0, 0]]
Hey! Do you want to catch up on Friday? Sure! Where do you want to go? I don't know. How about Xinyi? Or the train station? Ok. Let's do Xinyi. When? Let's do 3 pm? Sorry, I can't. Are you free at 2 am? OK! See you there!	[[7, 8], [10, 10], [68, 69], [29, 31]]
Hey! Do you want to see a game on Thursday? Sounds good. Where? I don't know. How about your place? Or school? Ok. Let's do school. When? How about 10 pm? Sorry, I can't. How about 1 pm? Ok. See you there!	[[7, 9], [11, 11], [56, 57], [30, 30]]
Hey. Do you want to see a game on Wednesday? Sure. Where do you want to go? I don't know. How about Daan Park? Or a club? Ok. Let's do Daan Park. When? Let's do 10 am? Sorry, I have an appointment. How about 9 pm? Great. See you n!	[[7, 9], [11, 11], [66, 67], [30, 32]]
Sup! Sup. Let's go surfing on Friday? Sure. When should we meet? Are you free at 8 am? Sure. Where should we go? How about your place? Sure! Sorry, I can't 8 am. Are you free at 4 am? Sure. See you then!	[[10, 11], [13, 13], [56, 57], [38, 39]]
Sup! Sup. Are you free on Saturday? Yes. Let's go rafting? Great. Where do you want to go? How about a club? Sure. See you on Saturday!	[[18, 21], [11, 11], [0, 0], [34, 35]]
Hey! Do you want to see a game on Thursday? OK! What time should we meet? Are you free at midnight? Sorry, I can't. Are you free at 11 am? Sounds good. Where should we meet? I don't know. How about Daan Park or the zoo? Sounds good. I prefer the zoo. Sure. See you there!	[[7, 9], [11, 11], [38, 39], [61, 62]]
Hey, how are you doing? I’m good, and you? I’m fine, thanks. Let's grab lunch today? Great. Where? How about a club? Great. What time? Let's do 8 am? Sorry, I can't. 11 am? Sounds good. See you there!	[[26, 27], [28, 28], [58, 59], [36, 37]]
Hey. Do you want to grab lunch on Sunday? OK! What time? 9 pm? Great. Where should we go? How about Daan Park? Sure! See you there!	[[7, 8], [10, 10], [17, 18], [29, 31]]
Sup! Sup. You free on Thursday? Sorry, I'm busy... How about on Wednesday? I'm busy on on Wednesday too. That's fine, next time then. Great. 	[[0, 0], [0, 0], [0, 0], [0, 0]]
Hey, how are you doing? I’m good, and you? I’m fine, thanks. Let's grab lunch on Wednesday? Sure. Where do you want to go? I don't know. How about Xinyi? Or a coffee shop? Sounds good. Let's do Xinyi. What time? Are you free at midnight? Sorry, I have an appointment. Are you free at 4 pm? OK! See you then!	[[26, 27], [29, 29], [88, 89], [48, 50]]
Yo, what's up? Nothing much. You free tomorrow? Yes. Let's go somewhere? Sure. Where do you want to go? How about the Japanese place? Sounds good. See you there!	[[20, 21], [13, 13], [0, 0], [34, 36]]
Hey. You free on Friday? Sorry, I'll be out of town. How about on Wednesday? I'm busy on on Wednesday too. That's fine, next time then. Great. 	[[0, 0], [0, 0], [0, 0], [0, 0]]
Hey, how are you doing? I’m good, and you? I’m fine, thanks. Let's go to a party on Tuesday? Sounds good. When? Are you free at 12 pm? Great. Where should we meet? How about a club? OK! See you there!	[[26, 29], [31, 31], [42, 43], [54, 55]]
Hey, how are you doing? I’m good, and you? I’m fine, thanks. Would you want to grab lunch tomorrow? Sure. Where should we meet? I don't know. How about the train station? Or the Japanese place? Great. Let's do the train station. What time should we meet? Let's do 7 am? Sorry, I can't. Let's do 4 pm? Ok. See you o!	[[27, 28], [29, 29], [89, 90], [46, 48]]
Yo, what's up? Nothing much. Do you want to go rafting on Saturday? Sure. Where? How about your place? Sounds good. When should we meet? Let's do 1 pm? Sure. See you there!	[[15, 18], [20, 20], [43, 44], [28, 29]]
Sup! Sup. Let's hang out on Thursday? Great. Where do you want to go? How about your place? OK! What time? Let's do midnight? Sorry, I'm busy. You free 11 am? Great. See you there!	[[10, 11], [13, 13], [49, 50], [26, 27]]
Sup! Sup. Would you want to go rafting on Thursday? Ok. Where should we go? How about Xinyi? OK! What time should we meet? Are you free at 1 am? Sorry, I have an appointment. Are you free at 12 pm? Great. See you on Thursday!	[[11, 14], [16, 16], [57, 58], [27, 29]]
Hey, how are you doing? I’m good, and you? I’m fine, thanks. You free on Tuesday? Yes. Would you want to grab lunch? Ok. Where should we meet? How about the theme park? Great. See you on Tuesday!	[[34, 35], [26, 26], [0, 0], [46, 48]]
Hey! Let's watch a movie on Friday? Sure! Where? I don't know. How about school? Or the Italian restaurant? OK! Let's do the Italian restaurant. When should we meet? Are you free at 8 pm? Sorry, I'm busy. You free 4 pm? Great. See you n!	[[6, 8], [10, 10], [62, 63], [27, 29]]
Yo, what's up? Nothing much. Would you want to go to a party tomorrow? Sorry I'm busy. How about on Tuesday? Sure. When should we meet? 11 am? OK! See you there!	[[15, 18], [30, 30], [39, 40], [0, 0]]
Hey! You free on Saturday? Sorry, I'm busy... How about on Tuesday? I'm busy on on Tuesday too. That's fine, next time then. OK! 	[[0, 0], [0, 0], [0, 0], [0, 0]]
Hey! Are you free on Monday? Sorry, I'll be out of town. How about on Sunday? I'm busy on on Sunday too. That's fine, next time then. Ok. 	[[0, 0], [0, 0], [0, 0], [0, 0]]
Yo, what's up? Nothing much. You free on Friday? Yes. Do you want to grab coffee? OK! Where do you want to go? How about the Italian restaurant? Sure. See you on Friday!	[[22, 23], [14, 14], [0, 0], [36, 38]]
Hey! Let's see a play on Tuesday? Sure! Where should we meet? How about school? Sure. What time? Let's do 3 am? Sorry, I'm busy. Are you free at 4 pm? Ok. See you on Tuesday!	[[6, 8], [10, 10], [46, 47], [21, 21]]
Sup! Sup. Would you want to grab lunch tomorrow? Sure. What time? You free 6 am? Sure. Where should we go? How about a coffee shop? Great. See you tomorrow!	[[11, 12], [13, 13], [22, 23], [34, 36]]
Hey. Would you want to grab coffee on Wednesday? Ok. What time should we meet? Are you free at 2 pm? OK! Where should we meet? How about a bar? OK! Actually, I have an appointment 2 pm. 1 am? OK! See you there!	[[7, 8], [10, 10], [50, 51], [36, 37]]
Yo, what's up? Nothing much. Let's bake on Thursday? Ok. What time should we meet? How about 6 pm? Great. Where should we meet? How about the train station? Sure. See you there!	[[14, 15], [17, 17], [29, 30], [41, 43]]
Hey, how are you doing? I’m good, and you? I’m fine, thanks. Do you want to see a game on Saturday? Sure! Where should we meet? I don't know. How about school? Or the mall? OK! Let's do school. What time? How about noon? Sorry, I'm busy. Let's do 1 pm? Sure. See you then!	[[27, 29], [31, 31], [80, 81], [48, 48]]
Yo, what's up? Nothing much. Let's grab lunch tomorrow? I can't. How about today? Ok. When should we meet? 3 am? Sounds good. See you then!	[[14, 15], [25, 25], [34, 35], [0, 0]]
Hey! Do you want to watch a movie on Saturday? Sorry I'm busy on Saturday. How about on Sunday? Ok. What time? noon? Sounds good. See you on Sunday!	[[7, 9], [24, 24], [31, 31], [0, 0]]
Yo, what's up? Nothing much. Are you free on Sunday? Sorry, I'll be out of town. How about on Monday? I'm busy on on Monday too. That's fine, next time then. Great. 	[[0, 0], [0, 0], [0, 0], [0, 0]]
Hey! You free on Friday? Yes. Would you want to go to a party? Sounds good. Where do you want to go? How about school? OK! See you on Friday!	[[14, 17], [6, 6], [0, 0], [31, 31]]
